NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Aaron Donald","DT","LAR",1,60,60,54,58,44,63,56,44,"",46,62,61,55,44,59,58,41,865,54,84.47,
"Byron Murphy Jr.","CB","ARI",1,60,65,61,65,54,82,51,"","",66,39,20,33,30,61,"",53,795,53,71.75,
"Cameron Jordan","DE","NO",1,60,72,48,46,59,"",38,66,36,61,33,26,59,63,56,44,36,1024,64,64,
"Ifeadi Odenigbo","DE","MIN","",60,41,53,44,42,55,"",59,54,38,32,50,53,42,26,36,"",696,46,64.8,
"Jeremiah Attaochu","LB","DEN",2,60,40,26,"","","","",20,22,"",20,23,15,21,33,46,59,414,31,38.05,
"Lamarcus Joyner","SS","OAK",1,60,55,45,49,41,"",53,28,70,53,"","",37,41,38,36,48,670,47,61.52,
"Michael Davis","CB","LAC",1,60,74,43,76,73,"",63,65,50,56,60,61,66,40,49,68,53,957,59,92.37,2
"Shaq Lawson","DE","MIA",1,60,51,42,47,"",43,"",45,28,45,43,34,33,58,30,"",12,571,40,55.28,2
"Shaquil Barrett","LB","TB",1,60,69,47,49,55,57,50,62,50,44,66,59,"",52,59,43,"",822,54,77.33,
"Andrew Sendejo","SS","CLE",1,59,92,64,82,56,65,63,72,"",45,49,65,72,55,"",60,"",918,65,85.24,
"Bradley Chubb","DE","DEN",1,59,56,48,59,"",48,36,71,56,"",50,47,56,57,46,"","",741,52,68.11,
"Corey Ballentine","CB","NYG","",59,29,"","","","",17,"","","","","","","","","","",0,0,0,
"Deion Jones","ML","ATL",1,59,77,76,63,65,54,54,54,73,"",48,47,78,73,68,67,67,1043,65,96.48,2
"Denzel Ward","CB","CLE",1,59,91,29,82,56,65,75,70,"",57,49,"","","",54,69,"",775,64,71.96,
"Holton Hill","CB","MIN","",59,70,75,51,"","","","","","","","","","","","","",255,63,23.74,
"Jayon Brown","IL","TEN",1,59,75,65,"","",69,74,73,77,65,23,"","","","","","",653,65,58.46,
"Karl Joseph","SS","CLE","",59,86,64,73,"","",12,6,"","",13,64,42,51,54,69,61,659,47,61.19,
"Kenny Vaccaro","SS","TEN",1,59,75,65,"","",72,73,64,77,66,"",72,62,"","",59,63,871,67,77.98,
"Kevin Byard","FS","TEN",1,59,75,65,"","",72,79,73,77,70,47,74,63,71,65,66,63,1102,68,98.66,
"Stephon Gilmore","CB","NE","",59,62,58,56,"",64,66,"","","",39,74,58,59,24,"","",492,44,73.32,
"Terrance Mitchell","CB","CLE",1,59,91,64,82,56,64,74,70,"",57,49,65,71,59,54,69,67,1070,66,99.35,
"Tyrann Mathieu","SS","KC","",59,83,56,75,70,53,60,54,83,"",43,55,66,83,55,68,"",1047,65,65.4,2
"Bobby McCain","FS","MIA",2,58,59,64,40,56,70,"",95,69,60,64,55,52,32,31,63,55,923,57,89.35,
"Bud Dupree","DE","PIT",1,58,68,41,"",55,46,54,80,70,51,28,47,"","","","","",608,55,59.32,
"Chris Banjo","FS","ARI","",58,63,18,"","","",11,"",4,"",29,22,79,44,62,"","",436,33,39.35,
"Darian Thompson","FS","DAL","",58,38,72,4,15,8,"","",25,"",6,5,55,72,53,60,"",478,31,43.26,
"Mike Hughes","CB","MIN",1,58,59,"","",43,13,"","","","","","","","","","","",173,43,16.11,
"Nick Vigil","OLB","LAC",1,58,"","",5,1,"","",1,"",10,7,41,61,21,46,42,19,312,20,30.12,
"Sam Hubbard","DE","CIN",1,58,43,69,46,38,"","","","",45,37,67,55,46,57,41,48,664,51,62.7,
"Troy Pride Jr.","CB","CAR","",58,8,40,16,63,27,37,70,17,54,24,51,"",37,18,"","",529,37,49.95,
"Chidobe Awuzie","CB","DAL",1,57,70,"","","","","","","","",47,68,55,"",80,34,24,452,56,40.9,
"Daniel Sorensen","FS","KC",1,57,58,46,52,37,53,49,54,83,"",43,59,66,83,55,68,"",1047,65,65.4,2
"Duke Riley","OLB","PHI",2,57,49,7,47,56,"",34,55,"",51,33,31,31,57,47,"","",305,23,53.42,
"Fletcher Cox","DT","PHI",1,57,48,55,50,54,57,52,74,"",56,33,47,38,50,56,7,"",447,29,78.28,
"Harold Landry III","LB","TEN",1,57,72,61,"","",63,74,72,72,64,47,65,70,62,62,62,60,1048,65,93.82,
